Identifier,"Start Date / Time","End Date / Time",Title,Subtitle,Type,Description,Permalink,"Building Name",Room,"Location Name",Cost,Tags,Sponsors
111443-21827128,"2023-09-18 18:00:00","2023-09-18 19:00:00","IOE Career Workshop: Interviewing Skills to Get the Offer",,"Workshop / Seminar","Join a panel of recruiters and recent IOE graduates for presentations and an interactive Q&A session. Food provided!

Learn about the different kinds of interviews you will experience and how to prepare for them with confidence!",https://events.umich.edu/event/111443,"Industrial and Operations Engineering Building",1610,"Industrial and Operations Engineering Building",,Career,"U-M Industrial & Operations Engineering"
112275-21828739,"2023-09-18 18:00:00","2023-09-18 20:00:00","Rivian Engineering Networking Night hosted by Theta Tau & MRacing",,"Careers / Jobs","Theta Tau & MRacing are hosting Rivian for an engineering recruiting event on Monday, September 18th 6-8 PM in Boeing Auditorium (FXB)! The event will be a both an informational session and a networking opportunity to talk with Rivian engineers 1-on-1. RSVP with the following link is required: https://forms.gle/pLjRTJTRefZVN1tD8. There will also be free Chipotle at the event, while supplies last. Come join us to learn more about Rivian!

-Majors Recruited: Electrical Engineering, Mechanical Engineering, Industrial Engineering, Chemical Engineering, Computer Science, Computer Engineering, Robotics
-Degrees Levels Recruited: Bachelors, Masters, PhD
-Positions available: Internship, Co-op
-Will the company be collecting resumes at this event?: Yes
-Is the company willing to sponsor students for work authorization?: Yes",https://events.umich.edu/event/112275,"Francois-Xavier Bagnoud Building","Boeing Auditorium - 1109","Francois-Xavier Bagnoud Building",,Career,"Engineering Career Resource Center
Theta Tau"
112410-21828890,"2023-09-18 18:00:00","2023-09-18 20:00:00","Tesla - Corporate Information Session","Hosted with GEECS","Careers / Jobs","Come network with recruiters and learn more about professional development in a casual environment! Anyone is welcome to attend.

Majors: All Engineering Majors


Reach out to swe.car.pub@umich.edu with any questions!",https://events.umich.edu/event/112410,"Herbert H. Dow  Building",1013,"Herbert H. Dow  Building",,Career,"Society of Women Engineers"
112250-21828651,"2023-09-18 23:00:00","2023-09-18 23:59:00","Science Communication Certificate Program (Deadline)",,Other,"Our certificate program covers communication techniques that bridge academic research with public engagement. Through a series of workshops, participants will gain the skills to bring their research to life for audiences of all ages, ultimately giving a ""Scientist in the Forum"" presentation to the public at the Museum of Natural History.

Anyone with current or past lab research experience is eligible.

Apply: https://linktr.ee/second_uofm",https://events.umich.edu/event/112250,"Off Campus Location",,Virtual,,Career,"Futures in Research, Science, Teaching - FIRST"
109824-21823048,"2023-09-19 13:00:00","2023-09-19 16:00:00","Electrical and Computer Engineering Career Fair",,"Careers / Jobs","The Electrical and Computer Engineering Career Fair will be held on September 19, 2023 from 1-4 PM ET. This event is intended to help connect students studying programs offered through the Electrical and Computer Engineering Department with organizations seeking to recruit these students for full-time, internship and/or co-op positions.

Please note that there is no student pre-registration for this fair.

Please let us know how we can ensure that our events are inclusive to you. Please fill out the form below to let us know what accommodations or access needs we can help facilitate at least one week prior to the event.
https://umich.qualtrics.com/jfe/form/SV_6QJUbw52V39OVqS",https://events.umich.edu/event/109824,"Electrical Engineering and Computer Science Building",Atrium,"Electrical Engineering and Computer Science Building",,Career,"Engineering Career Resource Center
Electrical and Computer Engineering"
111678-21827408,"2023-09-19 16:00:00","2023-09-19 17:00:00","Intro to Amazon Web Services and the Cloud, hosted by GradSWE",,"Careers / Jobs","Solutions Architects from Amazon Web Services will be providing an introduction to AWS and its foundational services along with an overview of cloud computing. AWS is the foundation of many modern data infrastructures and analytical methods making it a critically important skill. By attending, you will also be able to network directly with professionals from AWS. This intro session will also prepare us for upcoming hands-on workshops. Be sure to take advantage of this incredible opportunity!


Register here: https://gradswe-aws.eventbrite.com/
Z﻿oom link will be provided after registration.

Please contact Miya Paserba at paserbam@umich.edu with any questions.",https://events.umich.edu/event/111678,"Off Campus Location",,Virtual,,Career,"Engineering Career Resource Center
Graduate Society of Women Engineers"
111754-21827540,"2023-09-19 16:30:00","2023-09-19 18:00:00","Intel Info Session hosted by Michigan Materials Society",,"Careers / Jobs","Come join Intel to learn about their internship, full-time and co-op opportunities for research and development roles. This is the only time this Intel group will be on campus so be sure to attend!

-Majors Recruited: Materials Science & Engineering, Chemical Engineering, Industrial and Operations Engineering, Engineering Physics, Mechanical Engineering, Chemistry, Physics
-Degrees Levels Recruited: Bachelors, Masters, Doctoral
-Positions available: Full-time positions, Internships, Co-ops
-Will the company be collecting resumes at this event?: Yes
-Is the company willing to sponsor students for work authorization?: On Occasion",https://events.umich.edu/event/111754,"Industrial and Operations Engineering Building",1610,"Industrial and Operations Engineering Building",,Career,"Engineering Career Resource Center
Michigan Materials Society"
112081-21828408,"2023-09-19 17:30:00","2023-09-19 19:00:00","Mammotome - Corporate Information Session",,"Careers / Jobs","Come network with recruiters and learn more about professional development in a casual environment! Anyone is welcome to attend.

Majors: Biomedical Engineering, Electrical Engineering, Mechanical Engineering

Positions: Intern, Co-op
Degrees: Bachelors, Masters
No citizenship requirements
Resumes collected: Yes

Tech talk / panel discussion where students can ask questions about types of careers, divisions, technology, and individual career paths. 

Mammotome is a medical device company -- breast biopsy devices and accessories.

Email swe.car.pub@umich.edu with any questions!",https://events.umich.edu/event/112081,BBB,1670,BBB,,Career,"Society of Women Engineers"
112101-21828436,"2023-09-19 18:00:00","2023-09-19 19:00:00","Michigan in Washington Information Session",,Presentation,"Learn more about the Michigan in Washington program!",https://events.umich.edu/event/112101,"Off Campus Location",,Virtual,,Career,"Michigan in Washington Program"
112411-21828889,"2023-09-19 18:30:00","2023-09-19 19:30:00","Intel Info Session hosted by ASME",,"Careers / Jobs","Intel Info Session

-Majors Recruited: STEM
-Degrees Levels Recruited: Bachelors
-Positions available: Internships
-Will the company be collecting resumes at this event?: No
-Is the company willing to sponsor students for work authorization?: On Occasion",https://events.umich.edu/event/112411,"Electrical Engineering and Computer Science Building",1200,"Electrical Engineering and Computer Science Building",,Career,"Engineering Career Resource Center
American Society of Mechanical Engineers"
112087-21828414,"2023-09-19 18:30:00","2023-09-19 20:00:00","iXperience - Corporate Information Session",,"Careers / Jobs","Come network with recruiters and learn more about professional development in a casual environment! Anyone is welcome to attend.

Majors: All Engineering Majors, Biomedical Engineering, Computer Engineering, Computer Science, Data Science, Electrical Engineering, Environmental Engineering, Industrial and Operations Engineering, Materials Science and Engineering, Mechanical Engineering

Positions: Intern
Degrees: Bachelors
No citizenship requirements
Resumes collected: Yes

iXperience is an immersive summer study and internship program that provides enriching 6-week, for-credit courses in captivating locations such as Lisbon, Cape Town, or even from the comfort of your own home.
At iX, we are committed to empowering students with a lifelong learning mindset, recognizing that education should evolve alongside ever-changing educational paths and interests. Our mission is to craft immersive learning experiences that not only enhance professional development but also prioritize students' growth and cultural immersion, ensuring they are equipped for success at every stage of their educational journey.

Email swe.car.pub@umich.edu with any questions!",https://events.umich.edu/event/112087,"Electrical Engineering and Computer Science Building",1311,"Electrical Engineering and Computer Science Building",,Career,"Society of Women Engineers"
